phrase|type
subsect 1|co-occurring
subsect 2|co-occurring
subsect 3|co-occurring
subsect 5|co-occurring
subsect b|co-occurring
subsect c|co-occurring
subsect d|co-occurring
subsect f|co-occurring
subsect follow|co-occurring
subsect g|co-occurring
subsect shall|co-occurring
subsequ action|co-occurring
subsequ adopt|co-occurring
subsequ amend|co-occurring
subsequ bill|co-occurring
subsequ committe|co-occurring
subsequ report|co-occurring
subsequ said|co-occurring
subsequ section|co-occurring
subsequ senat|co-occurring
subsequ vote|co-occurring
substanc amend|co-occurring
substanc bill|co-occurring
substanc senat|co-occurring
substant amend|co-occurring
substant legisl|co-occurring
substant matter|co-occurring
substanti amend|co-occurring
substanti bill|co-occurring
substanti form|co-occurring
substanti vote|co-occurring
substitut adopt|co-occurring
substitut agre|co-occurring
substitut ask|co-occurring
substitut believ|co-occurring
substitut can|co-occurring
substitut clerk|co-occurring
substitut consid|co-occurring
substitut contain|co-occurring
substitut first|co-occurring
substitut follow|co-occurring
substitut gentleman|co-occurring
substitut go|co-occurring
substitut h|co-occurring
substitut hous|co-occurring
substitut just|co-occurring
substitut languag|co-occurring
substitut lieu|co-occurring
substitut made|co-occurring
substitut make|co-occurring
substitut may|co-occurring
substitut measur|co-occurring
substitut modifi|co-occurring
substitut motion|co-occurring
substitut mr|co-occurring
substitut now|co-occurring
substitut open|co-occurring
substitut order|co-occurring
substitut origin|co-occurring
substitut pass|co-occurring
substitut pend|co-occurring
substitut place|co-occurring
substitut present|co-occurring
substitut print|co-occurring
substitut propos|co-occurring
substitut provis|co-occurring
substitut read|co-occurring
substitut recommend|co-occurring
substitut reject|co-occurring
substitut resolut|co-occurring
substitut rule|co-occurring
substitut s|co-occurring
substitut section|co-occurring
substitut shall|co-occurring
substitut strike|co-occurring
substitut take|co-occurring
substitut text|co-occurring
substitut think|co-occurring
substitut titl|co-occurring
substitut vote|co-occurring
substitut want|co-occurring
substitut whole|co-occurring
substitut will|co-occurring
substitut word|co-occurring
subtitl c|co-occurring
succeed section|co-occurring
successor appoint|co-occurring
successor assign|co-occurring
suffici familiar|co-occurring
suffici import|co-occurring
suffici length|co-occurring
suffici vote|co-occurring
suffrag women|co-occurring
sugar bill|co-occurring
sugar schedul|co-occurring
suggest abl|co-occurring
suggest accept|co-occurring
suggest act|co-occurring
suggest action|co-occurring
suggest adopt|co-occurring
suggest agre|co-occurring
suggest amend|co-occurring
suggest anoth|co-occurring
suggest better|co-occurring
suggest bill|co-occurring
suggest call|co-occurring
suggest can|co-occurring
suggest certain|co-occurring
suggest chair|co-occurring
suggest chairman|co-occurring
suggest clerk|co-occurring
suggest committe|co-occurring
suggest confer|co-occurring
suggest connect|co-occurring
suggest consider|co-occurring
suggest day|co-occurring
suggest debat|co-occurring
suggest desir|co-occurring
suggest discuss|co-occurring
suggest distinguish|co-occurring
suggest first|co-occurring
suggest friend|co-occurring
suggest gentleman|co-occurring
suggest gentlemen|co-occurring
suggest go|co-occurring
suggest hope|co-occurring
suggest hous|co-occurring
suggest interest|co-occurring
suggest languag|co-occurring
suggest let|co-occurring
suggest like|co-occurring
suggest limit|co-occurring
suggest line|co-occurring
suggest made|co-occurring
suggest major|co-occurring
suggest matter|co-occurring
suggest may|co-occurring
suggest meet|co-occurring
suggest member|co-occurring
suggest mere|co-occurring
suggest minor|co-occurring
suggest modif|co-occurring
suggest moment|co-occurring
suggest move|co-occurring
suggest mr|co-occurring
suggest necessari|co-occurring
suggest now|co-occurring
suggest object|co-occurring
suggest offer|co-occurring
suggest order|co-occurring
suggest pass|co-occurring
suggest point|co-occurring
suggest proceed|co-occurring
suggest proper|co-occurring
suggest purpos|co-occurring
suggest question|co-occurring
suggest read|co-occurring
suggest refer|co-occurring
suggest regard|co-occurring
suggest report|co-occurring
suggest request|co-occurring
suggest resolut|co-occurring
suggest respect|co-occurring
suggest right|co-occurring
suggest secretari|co-occurring
suggest section|co-occurring
suggest seem|co-occurring
suggest sever|co-occurring
suggest shall|co-occurring
suggest side|co-occurring
suggest simpli|co-occurring
suggest strike|co-occurring
suggest substitut|co-occurring
suggest take|co-occurring
suggest therefor|co-occurring
suggest think|co-occurring
suggest time|co-occurring
suggest two|co-occurring
suggest understand|co-occurring
suggest upon|co-occurring
suggest view|co-occurring
suggest vote|co-occurring
suggest want|co-occurring
suggest whether|co-occurring
suggest will|co-occurring
suggest wish|co-occurring
suggest without|co-occurring
suggest word|co-occurring
suggest yesterday|co-occurring
suit conveni|co-occurring
suit senat|co-occurring
sum herebi|co-occurring
sum name|co-occurring
sum propos|co-occurring
summon wit|co-occurring
sundri amend|co-occurring
sundri citizen|co-occurring
sundri civil|co-occurring
sundri independ|co-occurring
sundri nomin|co-occurring
sundri offic|co-occurring
supermajor requir|co-occurring
supplement appropri|co-occurring
supplement report|co-occurring
supplementari thereto|co-occurring
suppli defici|co-occurring
suppli urgent|co-occurring
support amend|co-occurring
support armi|co-occurring
support demand|co-occurring
support gentlewoman|co-occurring
support joint|co-occurring
support point|co-occurring
support substitut|co-occurring
suppos amend|co-occurring
suppos bill|co-occurring
suppos can|co-occurring
suppos committe|co-occurring
suppos everi|co-occurring
suppos gentleman|co-occurring
suppos hous|co-occurring
suppos matter|co-occurring
suppos may|co-occurring
suppos member|co-occurring
suppos mr|co-occurring
suppos must|co-occurring
suppos necessari|co-occurring
suppos object|co-occurring
suppos question|co-occurring
suppos report|co-occurring
suppos right|co-occurring
suppos senat|co-occurring
suppos shall|co-occurring
suppos time|co-occurring
suppos vote|co-occurring
suppos will|co-occurring
supra follow|co-occurring
supra order|co-occurring
suprem law|co-occurring
sure amend|co-occurring
sure chairman|co-occurring
sure committe|co-occurring
sure object|co-occurring
sure point|co-occurring
sure understand|co-occurring
sure understood|co-occurring
sure vote|co-occurring
surrend floor|co-occurring
suspend bill|co-occurring
suspend chair|co-occurring
suspend hour|co-occurring
suspend order|co-occurring
suspend senat|co-occurring
suspend time|co-occurring
suspens bill|co-occurring
suspens day|co-occurring
suspens duti|co-occurring
suspens will|co-occurring
sustain action|co-occurring
sustain amend|co-occurring
sustain bill|co-occurring
sustain chair|co-occurring
sustain clerk|co-occurring
sustain committe|co-occurring
sustain content|co-occurring
sustain hous|co-occurring
sustain mr|co-occurring
sustain posit|co-occurring
sustain question|co-occurring
sustain rule|co-occurring
sustain view|co-occurring
sustain will|co-occurring
symm amend|co-occurring
sympathi amend|co-occurring
sympathi object|co-occurring
sympathi purpos|co-occurring
sympathi senat|co-occurring
system bankruptci|co-occurring
system purpos|co-occurring
system rule|co-occurring
t bill|co-occurring
t mr|co-occurring
t senat|co-occurring
tabl also|co-occurring
tabl amend|co-occurring
tabl appeal|co-occurring
tabl appear|co-occurring
tabl ask|co-occurring
tabl can|co-occurring
tabl chair|co-occurring
tabl committe|co-occurring
tabl en|co-occurring
tabl follow|co-occurring
tabl go|co-occurring
tabl hous|co-occurring
tabl interven|co-occurring
tabl joint|co-occurring
tabl made|co-occurring
tabl make|co-occurring
tabl may|co-occurring
tabl mr|co-occurring
tabl object|co-occurring
tabl offer|co-occurring
tabl one|co-occurring
tabl page|co-occurring
tabl present|co-occurring
tabl put|co-occurring
tabl read|co-occurring
tabl reject|co-occurring
tabl report|co-occurring
tabl resolut|co-occurring
tabl sa|co-occurring
tabl state|co-occurring
tabl statement|co-occurring
tabl think|co-occurring
tabl time|co-occurring
tabl titl|co-occurring
tabl vote|co-occurring
tabl will|co-occurring
tabl yea|co-occurring
tabular extran|co-occurring
taft amend|co-occurring
take 10|co-occurring
take 15|co-occurring
take 2|co-occurring
take 30|co-occurring
take 5|co-occurring
take amend|co-occurring
take bill|co-occurring
take calendar|co-occurring
take can|co-occurring
take committe|co-occurring
take consid|co-occurring
take constitut|co-occurring
take convers|co-occurring
take cours|co-occurring
take day|co-occurring
take debat|co-occurring
take discuss|co-occurring
take dispos|co-occurring
take either|co-occurring
take evid|co-occurring
take favor|co-occurring
take five|co-occurring
take floor|co-occurring
take gentleman|co-occurring
take h|co-occurring
take half|co-occurring
take hour|co-occurring
take hous|co-occurring
take item|co-occurring
take joint|co-occurring
take judgment|co-occurring
take judici|co-occurring
take jurisdict|co-occurring
take languag|co-occurring
take later|co-occurring
take liberti|co-occurring
take long|co-occurring
take longer|co-occurring
take matter|co-occurring
take may|co-occurring
take measur|co-occurring
take member|co-occurring
take minut|co-occurring
take moment|co-occurring
take motion|co-occurring
take much|co-occurring
take nomin|co-occurring
take now|co-occurring
take object|co-occurring
take opinion|co-occurring
take order|co-occurring
take pass|co-occurring
take pension|co-occurring
take point|co-occurring
take present|co-occurring
take prioriti|co-occurring
take proceed|co-occurring
take propos|co-occurring
take proposit|co-occurring
take quit|co-occurring
take record|co-occurring
take refer|co-occurring
take regular|co-occurring
take report|co-occurring
take resolut|co-occurring
take rule|co-occurring
take s|co-occurring
take section|co-occurring
take senat|co-occurring
take sens|co-occurring
take short|co-occurring
take speaker|co-occurring
take statement|co-occurring
take subject|co-occurring
take suggest|co-occurring
take ten|co-occurring
take testimoni|co-occurring
take three|co-occurring
take tile|co-occurring
take tomorrow|co-occurring
take two|co-occurring
take will|co-occurring
taken 1|co-occurring
taken 2|co-occurring
taken addit|co-occurring
taken agre|co-occurring
taken also|co-occurring
taken ask|co-occurring
taken believ|co-occurring
taken bill|co-occurring
taken bodi|co-occurring
taken calendar|co-occurring
taken can|co-occurring
taken certain|co-occurring
taken confer|co-occurring
taken connect|co-occurring
taken consid|co-occurring
taken consider|co-occurring
taken cours|co-occurring
taken debat|co-occurring
taken desir|co-occurring
taken discuss|co-occurring
taken dispos|co-occurring
taken distinguish|co-occurring
taken divis|co-occurring
taken even|co-occurring
taken execut|co-occurring
taken general|co-occurring
taken gentleman|co-occurring
taken go|co-occurring
taken gross|co-occurring
taken hear|co-occurring
taken hope|co-occurring
taken hous|co-occurring
taken know|co-occurring
taken last|co-occurring
taken later|co-occurring
taken like|co-occurring
taken major|co-occurring
taken make|co-occurring
taken matter|co-occurring
taken may|co-occurring
taken measur|co-occurring
taken monday|co-occurring
taken morn|co-occurring
taken mr|co-occurring
taken much|co-occurring
taken now|co-occurring
taken particular|co-occurring
taken pass|co-occurring
taken passag|co-occurring
taken pend|co-occurring
taken point|co-occurring
taken present|co-occurring
taken proper|co-occurring
taken provis|co-occurring
taken put|co-occurring
taken reason|co-occurring
taken refer|co-occurring
taken regular|co-occurring
taken report|co-occurring
taken resolut|co-occurring
taken respect|co-occurring
taken result|co-occurring
taken said|co-occurring
taken seat|co-occurring
taken secretari|co-occurring
taken section|co-occurring
taken separ|co-occurring
taken shall|co-occurring
taken side|co-occurring
taken speaker|co-occurring
taken subcommitte|co-occurring
taken subject|co-occurring
taken suprem|co-occurring
taken surpris|co-occurring
taken taken|co-occurring
taken think|co-occurring
taken time|co-occurring
taken today|co-occurring
taken tomorrow|co-occurring
taken two|co-occurring
taken unanim|co-occurring
taken want|co-occurring
taken way|co-occurring
taken wereay|co-occurring
taken wish|co-occurring
taken within|co-occurring
taken word|co-occurring
taken yesterday|co-occurring
talk amend|co-occurring
talk chairman|co-occurring
talk committe|co-occurring
talk distinguish|co-occurring
talk rule|co-occurring
talk upon|co-occurring
tariff bill|co-occurring
tax amend|co-occurring
tax oleomargarin|co-occurring
tax prerequisit|co-occurring
taxat provid|co-occurring
technic amend|co-occurring
technic chang|co-occurring
technic committe|co-occurring
technic conform|co-occurring
technic correct|co-occurring
technic error|co-occurring
technic natur|co-occurring
technic object|co-occurring
technic one|co-occurring
technic point|co-occurring
teinpor object|co-occurring
telegram ask|co-occurring
telegram just|co-occurring
telegram print|co-occurring
telegram read|co-occurring
telegram receiv|co-occurring
telegram refer|co-occurring
telegram will|co-occurring
televis senat|co-occurring
tell amend|co-occurring
teller committe|co-occurring
teller gentleman|co-occurring
teller mr|co-occurring
teller order|co-occurring
teller refus|co-occurring
teller report|co-occurring
teller reporteday|co-occurring
teller teller|co-occurring
teller vote|co-occurring
teller will|co-occurring
teller yea|co-occurring
tem pore|co-occurring
temper chair|co-occurring
temper hous|co-occurring
temper question|co-occurring
temper senat|co-occurring
tempor assum|co-occurring
tempor bill|co-occurring
tempor chair|co-occurring
tempor clerk|co-occurring
tempor gentleman|co-occurring
tempor mr|co-occurring
tempor object|co-occurring
tempor question|co-occurring
tempor without|co-occurring
temporari absenc|co-occurring
temporari appoint|co-occurring
temporarili absent|co-occurring
temporarili laid|co-occurring
temporarili lay|co-occurring
temporarili pass|co-occurring
temporarili senat|co-occurring
temporarili set|co-occurring
temporarili unfinish|co-occurring
ten day|co-occurring
ten insert|co-occurring
ten oclock|co-occurring
tend incrimin|co-occurring
tennesse absent|co-occurring
tennesse amend|co-occurring
tennesse ask|co-occurring
tennesse bill|co-occurring
tennesse can|co-occurring
tennesse chair|co-occurring
tennesse chairman|co-occurring
tennesse desir|co-occurring
tennesse expir|co-occurring
tennesse floor|co-occurring
tennesse gentleman|co-occurring
tennesse hous|co-occurring
tennesse made|co-occurring
tennesse make|co-occurring
tennesse may|co-occurring
tennesse member|co-occurring
tennesse move|co-occurring
tennesse mr|co-occurring
tennesse now|co-occurring
tennesse object|co-occurring
tennesse offer|co-occurring
tennesse one|co-occurring
tennesse pend|co-occurring
tennesse point|co-occurring
tennesse present|co-occurring
tennesse question|co-occurring
tennesse recogn|co-occurring
tennesse refer|co-occurring
tennesse senat|co-occurring
tennesse think|co-occurring
tennesse time|co-occurring
tennesse vote|co-occurring
tennesse want|co-occurring
tennesse whether|co-occurring
tennesse will|co-occurring
tennesse wish|co-occurring
tennesse yield|co-occurring
tenpor object|co-occurring
term 4|co-occurring
term amend|co-occurring
term committe|co-occurring
term court|co-occurring
term district|co-occurring
term resolut|co-occurring
term rule|co-occurring
term six|co-occurring
termin debat|co-occurring
ternpor amend|co-occurring
ternpor bill|co-occurring
ternpor chair|co-occurring
ternpor clerk|co-occurring
ternpor laid|co-occurring
ternpor morn|co-occurring
ternpor object|co-occurring
ternpor previous|co-occurring
ternpor question|co-occurring
ternpor report|co-occurring
ternpor senat|co-occurring
ternpor without|co-occurring
ternpor yield|co-occurring
territori bill|co-occurring
territori dakota|co-occurring
territori insular|co-occurring
territori introduct|co-occurring
territori legislatur|co-occurring
territori oklahoma|co-occurring
territori purpos|co-occurring
territori utah|co-occurring
test question|co-occurring
test sens|co-occurring
test vote|co-occurring
testifi submit|co-occurring
testimoni concern|co-occurring
testimoni make|co-occurring
testimoni print|co-occurring
testimoni report|co-occurring
testimoni s|co-occurring
testimoni shall|co-occurring
testimoni taken|co-occurring
testimoni upon|co-occurring
texa 5|co-occurring
texa absent|co-occurring
texa agre|co-occurring
texa allow|co-occurring
texa amend|co-occurring
texa ask|co-occurring
texa bill|co-occurring
texa call|co-occurring
texa can|co-occurring
texa chair|co-occurring
texa chairman|co-occurring
texa committe|co-occurring
texa correct|co-occurring
texa demand|co-occurring
texa desir|co-occurring
texa distinguish|co-occurring
texa fact|co-occurring
texa gentleman|co-occurring
texa give|co-occurring
texa hous|co-occurring
texa made|co-occurring
texa make|co-occurring
texa may|co-occurring
texa member|co-occurring
texa motion|co-occurring
texa move|co-occurring
texa mr|co-occurring
texa ms|co-occurring
texa much|co-occurring
texa necessarili|co-occurring
texa object|co-occurring
texa offer|co-occurring
texa point|co-occurring
texa present|co-occurring
texa propos|co-occurring
texa purpos|co-occurring
texa put|co-occurring
texa question|co-occurring
texa rais|co-occurring
texa rank|co-occurring
texa recogn|co-occurring
texa refer|co-occurring
texa right|co-occurring
texa senat|co-occurring
texa speak|co-occurring
texa take|co-occurring
texa time|co-occurring
texa understand|co-occurring
texa vote|co-occurring
texa whether|co-occurring
texa will|co-occurring
texa wish|co-occurring
texa yea|co-occurring
texa yield|co-occurring
text agreement|co-occurring
text amend|co-occurring
text committe|co-occurring
text h|co-occurring
text hous|co-occurring
text joint|co-occurring
text motion|co-occurring
text print|co-occurring
text propos|co-occurring
text provid|co-occurring
text report|co-occurring
text s|co-occurring
text section|co-occurring
text senat|co-occurring
text titl|co-occurring
text will|co-occurring
th gentleman|co-occurring
th senat|co-occurring
thank chair|co-occurring
thank distinguish|co-occurring
thank major|co-occurring
thank manag|co-occurring
thank minor|co-occurring
thank mr|co-occurring
thank presid|co-occurring
thank senat|co-occurring
theclerk will|co-occurring
thegentleman yield|co-occurring
thereaft consid|co-occurring
thereaft senat|co-occurring
thereaft shall|co-occurring
thereaft will|co-occurring
therebi lose|co-occurring
therefor accept|co-occurring
therefor adopt|co-occurring
therefor agre|co-occurring
therefor amend|co-occurring
therefor ask|co-occurring
therefor call|co-occurring
therefor chair|co-occurring
therefor chang|co-occurring
therefor committe|co-occurring
therefor compel|co-occurring
therefor constitut|co-occurring
therefor desir|co-occurring
therefor feel|co-occurring
therefor first|co-occurring
therefor gentleman|co-occurring
therefor hold|co-occurring
therefor hope|co-occurring
therefor hous|co-occurring
therefor insist|co-occurring
therefor liberti|co-occurring
therefor made|co-occurring
therefor make|co-occurring
therefor matter|co-occurring
therefor member|co-occurring
therefor motion|co-occurring
therefor mr|co-occurring
therefor noth|co-occurring
therefor now|co-occurring
therefor object|co-occurring
therefor offer|co-occurring
therefor opinion|co-occurring
therefor overrul|co-occurring
therefor permit|co-occurring
therefor point|co-occurring
therefor prepar|co-occurring
therefor proper|co-occurring
therefor question|co-occurring
therefor rais|co-occurring
therefor report|co-occurring
therefor request|co-occurring
therefor resolut|co-occurring
therefor rule|co-occurring
therefor shall|co-occurring
therefor submit|co-occurring
therefor suggest|co-occurring
therefor sustain|co-occurring
therefor think|co-occurring
therefor trust|co-occurring
therefor unabl|co-occurring
therefor unless|co-occurring
therefor upon|co-occurring
therefor violat|co-occurring
therefor vote|co-occurring
therefor will|co-occurring
therefor wish|co-occurring
therefor within|co-occurring
therefor word|co-occurring
therefor yield|co-occurring
therein 10|co-occurring
therein 5|co-occurring
therein address|co-occurring
therein amend|co-occurring
therein articl|co-occurring
therein brief|co-occurring
therein certain|co-occurring
therein editori|co-occurring
therein extran|co-occurring
therein follow|co-occurring
therein letter|co-occurring
therein limit|co-occurring
therein radio|co-occurring
therein resolut|co-occurring
therein short|co-occurring
therein speech|co-occurring
therein statement|co-occurring
thereof 1|co-occurring
thereof 2|co-occurring
thereof 3|co-occurring
thereof author|co-occurring
thereof bill|co-occurring
thereof congress|co-occurring
thereof famili|co-occurring
thereof figur|co-occurring
thereof insert|co-occurring
thereof may|co-occurring
thereof motion|co-occurring
thereof new|co-occurring
thereof provis|co-occurring
thereof purpos|co-occurring
thereof pursuant|co-occurring
thereof rule|co-occurring
thereof sec|co-occurring
thereof section|co-occurring
thereof text|co-occurring
thereof will|co-occurring
thereof without|co-occurring
thereof word|co-occurring
thereon appoint|co-occurring
thereon ask|co-occurring
thereon bill|co-occurring
thereon hous|co-occurring
thereon mr|co-occurring
thereon shall|co-occurring
thereto agre|co-occurring
thereto ceas|co-occurring
thereto close|co-occurring
thereto conclud|co-occurring
thereto concur|co-occurring
thereto disagre|co-occurring
thereto end|co-occurring
thereto final|co-occurring
thereto insist|co-occurring
thereto limit|co-occurring
thereto may|co-occurring
thereto print|co-occurring
thereto shall|co-occurring
thereto will|co-occurring
thereupon 12|co-occurring
thereupon senat|co-occurring
thereupon took|co-occurring
therewith limit|co-occurring
thing adopt|co-occurring
thing amend|co-occurring
thing committe|co-occurring
thing hous|co-occurring
thing morn|co-occurring
thing order|co-occurring
thing resolut|co-occurring
thing tomorrow|co-occurring
thing vote|co-occurring
think accord|co-occurring
think action|co-occurring
think adopt|co-occurring
think advis|co-occurring
think agreement|co-occurring
think amend|co-occurring
think better|co-occurring
think bill|co-occurring
think call|co-occurring
think can|co-occurring
think chair|co-occurring
think chairman|co-occurring
think circumst|co-occurring
think clarifi|co-occurring
think committe|co-occurring
think confer|co-occurring
think consid|co-occurring
think consider|co-occurring
think cover|co-occurring
think decid|co-occurring
think decis|co-occurring
think defeat|co-occurring
think demand|co-occurring
think desir|co-occurring
think discuss|co-occurring
think dispos|co-occurring
think due|co-occurring
think duti|co-occurring
think entitl|co-occurring
think error|co-occurring
think explain|co-occurring
think explan|co-occurring
think five|co-occurring
think floor|co-occurring
think full|co-occurring
think gentlemen|co-occurring
think german|co-occurring
think hous|co-occurring
think howev|co-occurring
think improp|co-occurring
think item|co-occurring
think joint|co-occurring
think late|co-occurring
think limit|co-occurring
think matter|co-occurring
think meet|co-occurring
think member|co-occurring
think membership|co-occurring
think meritori|co-occurring
think minor|co-occurring
think misunderstand|co-occurring
think motion|co-occurring
think mr|co-occurring
think necess|co-occurring
think necessari|co-occurring
think object|co-occurring
think offer|co-occurring
think opposit|co-occurring
think order|co-occurring
think pend|co-occurring
think permit|co-occurring
think plain|co-occurring
think practic|co-occurring
think preced|co-occurring
think prepar|co-occurring
think privileg|co-occurring
think procedur|co-occurring
think proceed|co-occurring
think proper|co-occurring
think proposit|co-occurring
think question|co-occurring
think quorum|co-occurring
think read|co-occurring
think readi|co-occurring
think record|co-occurring
think refer|co-occurring
think report|co-occurring
think request|co-occurring
think requir|co-occurring
think resolut|co-occurring
think rule|co-occurring
think satisfactori|co-occurring
think section|co-occurring
think senat|co-occurring
think shall|co-occurring
think speaker|co-occurring
think statement|co-occurring
think subject|co-occurring
think substitut|co-occurring
think suffici|co-occurring
think suggest|co-occurring
think suprem|co-occurring
think therefor|co-occurring
think thorough|co-occurring
think titl|co-occurring
think unanim|co-occurring
think understood|co-occurring
think unnecessari|co-occurring
think upon|co-occurring
think vote|co-occurring
think will|co-occurring
think wish|co-occurring
think within|co-occurring
think yield|co-occurring
third amend|co-occurring
third claus|co-occurring
third committe|co-occurring
third day|co-occurring
third degre|co-occurring
third line|co-occurring
third monday|co-occurring
third paragraph|co-occurring
third section|co-occurring
third senat|co-occurring
third session|co-occurring
tho senat|co-occurring
thoma amend|co-occurring
thorough consid|co-occurring
thorough debat|co-occurring
thorough understood|co-occurring
though agre|co-occurring
though amend|co-occurring
though committe|co-occurring
though gentleman|co-occurring
though member|co-occurring
though oppos|co-occurring
though vote|co-occurring
thought advis|co-occurring
thought agre|co-occurring
thought amend|co-occurring
thought ask|co-occurring
thought committe|co-occurring
thought object|co-occurring
thought offer|co-occurring
thought point|co-occurring
thought proper|co-occurring
thought question|co-occurring
thought senat|co-occurring
thought understand|co-occurring
thought understood|co-occurring
thought vote|co-occurring
thousand insert|co-occurring
thousand strike|co-occurring
thousand two|co-occurring
three addit|co-occurring
three amend|co-occurring
three appropri|co-occurring
three assist|co-occurring
three bill|co-occurring
three clerk|co-occurring
three day|co-occurring
three gentlemen|co-occurring
three hour|co-occurring
three insert|co-occurring
three line|co-occurring
three matter|co-occurring
three measur|co-occurring
three minut|co-occurring
three object|co-occurring
three oclock|co-occurring
three paragraph|co-occurring
three proposit|co-occurring
three question|co-occurring
three report|co-occurring
three resolut|co-occurring
three section|co-occurring
three senat|co-occurring
three shall|co-occurring
three vote|co-occurring
three word|co-occurring
threefifth senat|co-occurring
threefifth vote|co-occurring
threefourth sever|co-occurring
threefourth state|co-occurring
threequart hour|co-occurring
throughout day|co-occurring
thurmond amend|co-occurring
thursday afternoon|co-occurring
thursday april|co-occurring
thursday august|co-occurring
thursday decemb|co-occurring
thursday februari|co-occurring
thursday friday|co-occurring
thursday hous|co-occurring
thursday januari|co-occurring
thursday juli|co-occurring
thursday june|co-occurring
thursday last|co-occurring
thursday march|co-occurring
thursday may|co-occurring
thursday morn|co-occurring
thursday next|co-occurring
thursday novemb|co-occurring
thursday octob|co-occurring
thursday senat|co-occurring
thursday septemb|co-occurring
thursday week|co-occurring
thursday will|co-occurring
tie amend|co-occurring
tie bill|co-occurring
tie chair|co-occurring
tie committe|co-occurring
tie gentleman|co-occurring
tie hous|co-occurring
tie question|co-occurring
tie secretari|co-occurring
tie senat|co-occurring
tie whole|co-occurring
tie yea|co-occurring
tihe senat|co-occurring
tile amend|co-occurring
tile bill|co-occurring
tile chair|co-occurring
tile clerk|co-occurring
tile committe|co-occurring
tile first|co-occurring
tile follow|co-occurring
tile gentleman|co-occurring
tile hous|co-occurring
tile last|co-occurring
tile matter|co-occurring
tile motion|co-occurring
tile next|co-occurring
tile point|co-occurring
tile present|co-occurring
tile question|co-occurring
tile record|co-occurring
tile report|co-occurring
tile resolut|co-occurring
tile rule|co-occurring
tile secretari|co-occurring
tile senat|co-occurring
tile whole|co-occurring
tile word|co-occurring
tile yea|co-occurring
time 12|co-occurring
time 5|co-occurring
time 9|co-occurring
time accord|co-occurring
time act|co-occurring
time advis|co-occurring
time afternoon|co-occurring
time ago|co-occurring
time agreement|co-occurring
time alloc|co-occurring
time allot|co-occurring
time alreadi|co-occurring
time answer|co-occurring
time anticip|co-occurring
time appeal|co-occurring
time arrang|co-occurring
time ask|co-occurring
time assign|co-occurring
time avail|co-occurring
time back|co-occurring
time behalf|co-occurring
time brief|co-occurring
time calendar|co-occurring
time cast|co-occurring
time charg|co-occurring
time choos|co-occurring
time clotur|co-occurring
time colleagu|co-occurring
time commenc|co-occurring
time conclud|co-occurring
time conclus|co-occurring
time confer|co-occurring
time consult|co-occurring
time consum|co-occurring
time control|co-occurring
time conveni|co-occurring
time correct|co-occurring
time count|co-occurring
time cours|co-occurring
time declin|co-occurring
time deem|co-occurring
time design|co-occurring
time determin|co-occurring
time discuss|co-occurring
time dispos|co-occurring
time distinguish|co-occurring
time divid|co-occurring
time either|co-occurring
time electron|co-occurring
time engross|co-occurring
time enough|co-occurring
time equal|co-occurring
time examin|co-occurring
time exceed|co-occurring
time exhaust|co-occurring
time expect|co-occurring
time explain|co-occurring
time extend|co-occurring
time favor|co-occurring
time file|co-occurring
time final|co-occurring
time finish|co-occurring
time five|co-occurring
time fix|co-occurring
time friday|co-occurring
time general|co-occurring
time gentleman|co-occurring
time gentlemen|co-occurring
time given|co-occurring
time glad|co-occurring
time h|co-occurring
time hereaft|co-occurring
time heretofor|co-occurring
time hope|co-occurring
time hour|co-occurring
time inquir|co-occurring
time insist|co-occurring
time intend|co-occurring
time intent|co-occurring
time interrupt|co-occurring
time interven|co-occurring
time introduct|co-occurring
time investig|co-occurring
time item|co-occurring
time joint|co-occurring
time languag|co-occurring
time later|co-occurring
time lay|co-occurring
time left|co-occurring
time length|co-occurring
time lie|co-occurring
time limit|co-occurring
time major|co-occurring
time matter|co-occurring
time mere|co-occurring
time might|co-occurring
time minor|co-occurring
time moment|co-occurring
time monday|co-occurring
time morn|co-occurring
time mr|co-occurring
time name|co-occurring
time neither|co-occurring
time nomin|co-occurring
time notic|co-occurring
time object|co-occurring
time occupi|co-occurring
time oppon|co-occurring
time oppos|co-occurring
time opposit|co-occurring
time otherwis|co-occurring
time perfect|co-occurring
time point|co-occurring
time prepar|co-occurring
time prescrib|co-occurring
time present|co-occurring
time prior|co-occurring
time privileg|co-occurring
time procedur|co-occurring
time propon|co-occurring
time proposit|co-occurring
time purpos|co-occurring
time rank|co-occurring
time read|co-occurring
time readi|co-occurring
time recess|co-occurring
time regular|co-occurring
time remain|co-occurring
time repli|co-occurring
time report|co-occurring
time request|co-occurring
time requir|co-occurring
time reserv|co-occurring
time roll|co-occurring
time s|co-occurring
time section|co-occurring
time session|co-occurring
time shall|co-occurring
time side|co-occurring
time simpli|co-occurring
time situat|co-occurring
time speak|co-occurring
time speaker|co-occurring
time special|co-occurring
time spoken|co-occurring
time stand|co-occurring
time statement|co-occurring
time strike|co-occurring
time submit|co-occurring
time subsequ|co-occurring
time substitut|co-occurring
time suffici|co-occurring
time suggest|co-occurring
time suppos|co-occurring
time suprem|co-occurring
time think|co-occurring
time tomorrow|co-occurring
time transact|co-occurring
time tuesday|co-occurring
time two|co-occurring
time unanim|co-occurring
time unanimouscons|co-occurring
time understand|co-occurring
time understood|co-occurring
time unless|co-occurring
time upon|co-occurring
