phrase|type
30 1917|co-occurring
30 1918|co-occurring
30 1919|co-occurring
30 1920|co-occurring
30 1921|co-occurring
30 1922|co-occurring
30 1923|co-occurring
30 1932|co-occurring
30 1933|co-occurring
30 1934|co-occurring
30 1935|co-occurring
30 1937|co-occurring
30 1939|co-occurring
30 1940|co-occurring
30 1941|co-occurring
30 1942|co-occurring
30 1943|co-occurring
30 1944|co-occurring
30 1945|co-occurring
30 1946|co-occurring
30 1947|co-occurring
30 1948|co-occurring
30 1949|co-occurring
30 1950|co-occurring
30 1951|co-occurring
30 1952|co-occurring
30 1953|co-occurring
30 1954|co-occurring
30 1955|co-occurring
30 1956|co-occurring
30 1957|co-occurring
30 1958|co-occurring
30 1959|co-occurring
30 1960|co-occurring
30 1961|co-occurring
30 1962|co-occurring
30 1963|co-occurring
30 1964|co-occurring
30 1965|co-occurring
30 1966|co-occurring
30 1967|co-occurring
30 1968|co-occurring
30 1969|co-occurring
30 1970|co-occurring
30 1971|co-occurring
30 1972|co-occurring
30 1973|co-occurring
30 1974|co-occurring
30 1975|co-occurring
30 1976|co-occurring
30 1978|co-occurring
30 1979|co-occurring
30 1980|co-occurring
30 1982|co-occurring
30 1984|co-occurring
30 1986|co-occurring
30 1987|co-occurring
30 1989|co-occurring
30 1990|co-occurring
30 1991|co-occurring
30 1992|co-occurring
30 1995|co-occurring
30 1998|co-occurring
30 2|co-occurring
30 31|co-occurring
30 addit|co-occurring
30 afternoon|co-occurring
30 amend|co-occurring
30 arriv|co-occurring
30 bill|co-occurring
30 calendar|co-occurring
30 even|co-occurring
30 line|co-occurring
30 m|co-occurring
30 minut|co-occurring
30 oclock|co-occurring
30 p|co-occurring
30 second|co-occurring
30 senat|co-occurring
30 today|co-occurring
30 tomorrow|co-occurring
30 vote|co-occurring
30 will|co-occurring
302 f|co-occurring
31 32|co-occurring
31 line|co-occurring
31 unit|co-occurring
311 budget|co-occurring
311 congression|co-occurring
32 line|co-occurring
33 line|co-occurring
34 35|co-occurring
34 line|co-occurring
35 36|co-occurring
35 line|co-occurring
35 minut|co-occurring
35 p|co-occurring
